complexity,drug_pubchem_id,exact_mass,hba,hbd,heavy_atoms,molecular_formula,mw_freebase,mw_monoisotopic,smiles,tpsa
561,3108,504.317,4,12,36,C24H40N8O4,504.636,504.317,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,145.0
268,3103,281.178,0,2,21,C19H23NO,281.399,281.178,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3,12.5
211,3100,255.162,0,2,19,C17H21NO,255.361,255.162,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,12.5
565,3075,415.169,1,5,29,C22H27N2O4S+,415.528,415.169,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CC[NH+](C)C)C3=CC=C(C=C3)OC,85.6
727,3074,604.3,0,12,43,C31H44N2O10,604.697,604.3,COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCCN(CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC,115.0
1160,3066,583.279,3,6,43,C33H37N5O5,583.689,583.279,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,118.0
471,3063,301.168,1,4,22,C18H23NO3,301.386,301.168,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,41.9
1450,3062,780.43,6,14,55,C41H64O14,780.949,780.43,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,203.0
1410,3061,764.435,5,13,54,C41H64O13,764.95,764.435,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,183.0
311,3059,250.044,2,5,18,C13H8F2O3,250.201,250.044,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,57.5
286,3054,268.146,2,2,20,C18H20O2,268.356,268.146,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,40.5
326,3042,309.267,0,3,22,C19H35NO2,309.494,309.267,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,29.5
452,3038,303.915,2,6,16,C6H6Cl2N2O4S2,305.144,303.915,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,137.0
298,3032,294.009,1,3,19,C14H10Cl2NO2-,295.139,294.009,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,52.2
387,3025,343.226,1,4,25,C20H29N3O2,343.471,343.226,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,54.5
360,3019,229.992,1,3,14,C8H7ClN2O2S,230.666,229.992,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,66.9
403,3016,284.072,0,2,20,C16H13ClN2O,284.743,284.072,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,32.7
370,3008,271.194,0,2,20,C18H25NO,271.404,271.194,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,12.5
84,3007,135.105,1,1,10,C9H13N,135.21,135.105,CC(CC1=CC=CC=C1)N,26.0
267,2995,266.178,1,2,20,C18H22N2,266.388,266.178,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,15.3
439,2978,314.225,1,2,23,C21H30O2,314.469,314.225,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C)C(=C1)O,29.5
649,2976,452.231,2,6,33,C26H32N2O5,452.551,452.231,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N(CC(=O)O)C2CC3=CC=CC=C3C2,95.9
739,2973,560.353,6,9,39,C25H48N6O8,560.693,560.353,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,206.0
202,2965,176.119,2,1,13,C10H14N3+,176.243,176.119,C1CN(CC2=CC=CC=C21)C(=N)[NH3+],54.7
960,2958,527.179,5,11,38,C27H29NO10,527.526,527.179,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O,186.0
536,2951,313.057,0,6,23,C14H9N4O5-,313.249,313.057,C1C(=O)N=C(N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-],127.0
677,2949,337.204,1,3,25,C22H27NO2,337.463,337.204,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,46.3
423,2913,287.167,0,1,22,C21H21N,287.406,287.167,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,3.2
758,2910,389.027,3,7,24,C14H16ClN3O4S2,389.869,389.027,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,135.0
555,2866,354.194,2,4,26,C21H26N2O3,354.45,354.194,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,65.6
740,2833,399.168,1,6,29,C22H25NO6,399.443,399.168,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,83.1
653,2832,371.173,1,6,27,C21H25NO5,371.433,371.173,CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,66.0
509,2828,299.152,1,4,22,C18H21NO3,299.37,299.152,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,41.9
432,2826,303.147,0,5,22,C17H21NO4,303.358,303.147,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,55.8
584,2818,326.13,1,4,23,C18H19ClN4,326.828,326.13,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,30.9
381,2806,321.059,0,4,21,C16H16ClNO2S,321.819,321.059,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,57.8
222,2803,229.017,2,1,14,C9H9Cl2N3,230.092,229.017,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,36.4
491,2802,315.041,1,4,22,C15H10ClN3O3,315.713,315.041,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,87.3
346,2801,314.155,0,2,22,C19H23ClN2,314.857,314.155,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,6.5
481,2800,405.186,0,2,29,C26H28ClNO,405.966,405.186,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,12.5
232,2796,242.071,0,3,16,C12H15ClO3,242.699,242.071,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,35.5
233,2783,276.08,3,3,17,C12H18Cl2N2O,277.189,276.08,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,58.3
376,2781,343.17,0,2,24,C21H26ClNO,343.895,343.17,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,12.5
450,2780,373.156,2,4,26,C20H24ClN3O2,373.881,373.156,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N,67.6
581,2769,465.183,2,7,32,C23H29ClFN3O4,465.95,465.183,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,86.0
333,2763,288.032,1,3,18,C13H14Cl2O3,289.152,288.032,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,46.5
429,2761,368.225,0,2,28,C26H28N2,368.524,368.225,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,6.5
296,2756,252.116,3,4,17,C10H16N6S,252.34,252.116,CC1=C(N=CN1)CSCCNC(=NC)NC#N,114.0
896,2752,492.19,1,8,36,C27H28N2O7,492.528,492.19,CC1=C(C(C(=C(N1)C)C(=O)OCC=CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,120.0
608,2751,417.226,2,7,30,C22H31N3O5,417.506,417.226,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCCN3CCCC(N3C2=O)C(=O)O,99.2
357,2747,262.147,1,1,20,C18H18N2,262.356,262.147,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,24.4
185,2733,168.993,1,2,11,C7H4ClNO2,169.564,168.993,C1=CC2=C(C=C1Cl)NC(=O)O2,38.3
564,2732,338.013,3,5,22,C14H11ClN2O4S,338.762,338.013,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,118.0
339,2726,318.096,0,3,21,C17H19ClN2S,318.863,318.096,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,31.8
249,2725,274.124,0,2,19,C16H19ClN2,274.792,274.124,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,16.1
532,2720,294.949,2,6,17,C7H6ClN3O4S2,295.712,294.949,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,135.0
580,2712,299.083,1,3,21,C16H14ClN3O,299.758,299.083,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,48.2
56,2707,163.92,2,2,7,C2H3Cl3O2,165.394,163.92,C(C(Cl)(Cl)Cl)(O)O,40.5
443,2678,388.155,1,5,27,C21H25ClN2O3,388.892,388.155,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,53.0
620,2676,459.242,3,7,33,C26H34FNO5,459.558,459.242,CC(C)C1=C(C(=C(C(=N1)C(C)C)C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)COC,99.9
577,2662,381.076,1,7,26,C17H14F3N3O2S,381.373,381.076,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,86.4
508,2585,406.189,3,5,30,C24H26N2O4,406.482,406.189,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,75.7
354,2583,292.179,3,4,21,C16H24N2O3,292.379,292.179,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,70.6
156,2578,213.007,1,3,12,C5H9Cl2N3O2,214.046,213.007,C(CCl)NC(=O)N(CCCl)N=O,61.8
644,2569,321.132,1,7,23,C15H19N3O5,321.333,321.132,CC1=C(C(=O)C(=C(C1=O)N2CC2)C(COC(=O)N)OC)N3CC3,102.0
326,2554,236.095,1,1,18,C15H12N2O,236.274,236.095,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,46.3
117,2551,147.113,1,2,10,C6H15N2O2+,147.198,147.113,C[N+](C)(C)CCOC(=O)N,52.3
244,2550,217.077,2,4,14,C9H15NO3S,217.283,217.077,CC(CS)C(=O)N1CCCC1C(=O)O,58.6
341,2548,305.199,2,3,22,C18H27NO3,305.418,305.199,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,58.6
660,2541,440.16,2,7,33,C24H20N6O3,440.463,440.16,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,119.0
217,2537,152.12,0,1,11,C10H16O,152.237,152.12,CC1(C2CCC1(C(=O)C2)C)C,17.1
602,2536,398.159,2,6,29,C20H22N4O5,398.419,398.159,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,137.0
743,2522,412.298,3,3,30,C27H40O3,412.614,412.298,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,60.7
606,2520,454.283,0,6,33,C27H38N2O4,454.611,454.283,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,64.0
293,2519,194.08,0,3,14,C8H10N4O2,194.194,194.08,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,58.4
713,2512,451.295,2,4,33,C26H37N5O2,451.615,451.295,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,71.7
492,2487,327.22,2,3,24,C21H29NO2,327.468,327.22,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,43.7
294,2478,246.023,0,6,14,C6H14O6S2,246.292,246.023,CS(=O)(=O)OCCCCOS(=O)(=O)C,104.0
529,2477,385.248,0,6,28,C21H31N5O2,385.512,385.248,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,69.6
869,2476,467.304,2,5,34,C29H41NO4,467.65,467.304,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,62.2
242,2475,271.134,2,3,18,C14H22ClNO2,271.785,271.134,CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O,41.5
528,2471,364.109,3,7,25,C17H20N2O5S,364.416,364.109,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,127.0
862,2462,430.236,2,6,31,C25H34O6,430.541,430.236,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,93.1
759,2460,469.136,2,11,32,C18H24N5O8P,469.391,469.136,CCCC(=O)NC1=NC=NC2=C1N=CN2C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC,164.0
465,2451,391.95,0,4,22,C15H10BrClN4S,393.687,391.95,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,71.3
633,2449,354.183,1,4,26,C22H26O4,354.446,354.183,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,71.4
451,2448,419.09,1,4,26,C21H23BrFNO2,420.322,419.09,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,40.5
1230,2443,653.221,3,6,43,C32H40BrN5O5,654.606,653.221,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,118.0
308,2435,291.012,2,3,17,C11H10BrN5,292.14,291.012,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,62.2
278,2405,325.225,2,5,23,C18H31NO4,325.449,325.225,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,60.0
422,2381,311.225,1,2,23,C21H29NO,311.469,311.225,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,23.5
750,2375,430.061,2,9,29,C18H14F4N2O4S,430.374,430.061,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,116.0
140,2370,161.129,1,2,11,C7H17N2O2+,161.225,161.129,CC(C[N+](C)(C)C)OC(=O)N,52.3
286,2369,307.215,2,4,22,C18H29NO3,307.434,307.215,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,50.7
83,2366,136.1,1,2,10,C8H12N2,136.198,136.1,CNCCC1=CC=CC=N1,24.9
659,2352,398.209,3,5,29,C24H30O5,398.499,398.209,CC#CCC(C)C(C=CC1C(CC2C1C3=C(O2)C(=CC=C3)CCCC(=O)O)O)O,87.0
382,2351,366.267,0,3,27,C24H34N2O,366.549,366.267,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,15.7
340,2344,307.194,0,2,23,C21H25NO,307.437,307.194,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,12.5
151,2337,165.079,1,3,12,C9H11NO2,165.192,165.079,CCOC(=O)C1=CC=C(C=C1)N,52.3
588,2329,404.137,4,5,30,C23H20N2O5,404.422,404.137,C1=CC=C(C=C1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC3=CC=C(C=C3)C(=O)O,116.0
933,2324,505.221,1,8,37,C28H31N3O6,505.571,505.221,CC1=C(C(C(=C(N1)C)C(=O)OC2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,114.0
740,2315,421.038,3,10,27,C15H14F3N3O4S2,421.409,421.038,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,135.0
619,2311,424.2,2,6,31,C24H28N2O5,424.497,424.2,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,95.9
805,2308,408.17,3,5,28,C22H29ClO5,408.919,408.17,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,94.8
191,2284,213.056,2,3,14,C10H12ClNO2,213.661,213.056,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,63.3
558,2267,381.161,0,3,27,C22H24ClN3O,381.904,381.161,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,35.9
147,2266,188.105,2,4,13,C9H16O4,188.223,188.105,C(CCCC(=O)O)CCCC(=O)O,74.6
354,2265,277.038,1,7,19,C9H7N7O2S,277.262,277.038,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],143.0
822,2250,558.253,4,6,41,C33H35FN2O5,558.65,558.253,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,112.0
263,2249,266.163,3,4,19,C14H22N2O3,266.341,266.163,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,84.6
599,2247,458.248,1,5,34,C28H31FN4O,458.581,458.248,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,42.3
212,2244,180.042,1,4,13,C9H8O4,180.159,180.042,CC(=O)OC1=CC=CC=C1C(=O)O,63.6
887,2232,508.247,5,8,35,C23H36N6O5S,508.638,508.247,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,189.0
374,2215,267.126,2,3,20,C17H17NO2,267.328,267.126,CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O,43.7
314,2200,265.158,1,2,20,C17H19N3,265.36,265.158,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3,27.6
282,2196,219.09,0,3,16,C12H13NO3,219.24,219.09,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,46.6
456,2187,293.164,0,4,22,C17H19N5,293.374,293.164,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,78.3
601,2179,393.115,2,6,28,C21H19N3O3S,393.461,393.115,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,88.7
647,2162,408.145,2,7,28,C20H25ClN2O5,408.879,408.145,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,99.9
467,2161,298.095,2,6,22,C16H14N2O4,298.298,298.095,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,103.0
331,2160,277.183,0,1,21,C20H23N,277.411,277.183,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,3.2
549,2159,369.172,2,6,25,C17H27N3O4S,369.48,369.172,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,110.0
547,2156,646.032,1,3,31,C25H30I2NO3+,646.328,646.032,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I,43.9
321,2145,232.121,2,3,17,C13H16N2O2,232.283,232.121,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,72.2
391,2140,613.77,3,4,20,C11H9I3N2O4,613.916,613.77,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,95.5
614,2131,536.268,2,2,36,C28H42Cl2N4O2+2,537.57,536.268,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,58.2
144,2130,151.136,1,1,11,C10H17N,151.253,151.136,C1C2CC3CC1CC(C2)(C3)N,26.0
231,2119,249.173,2,3,18,C15H23NO2,249.354,249.173,CC(C)NCC(COC1=CC=CC=C1CC=C)O,41.5
434,2118,308.083,0,3,22,C17H13ClN4,308.769,308.083,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,43.1
442,2099,294.148,1,2,22,C17H18N4O,294.358,294.148,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,53.9
511,2092,389.206,2,8,28,C19H27N5O4,389.456,389.206,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,112.0
257,2088,249.017,6,8,14,C4H13NO7P2,249.096,249.017,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,161.0
227,2083,239.152,4,4,17,C13H21NO3,239.315,239.152,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,72.7
1530,2008,811.342,4,16,58,C42H53NO15,811.878,811.342,CCC1(CC(C2=C(C1C(=O)OC)C=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O,217.0
207,1996,190.108,1,4,13,C8H16NO4+,190.219,190.108,CC(=O)OC(CC(=O)O)[N+](C)(C)C,63.6
42,1990,75.032,2,2,5,C2H5NO2,75.067,75.032,CC(=O)NO,49.3
498,1989,324.114,2,4,22,C15H20N2O4S,324.395,324.114,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,101.0
297,1986,221.988,2,7,13,C4H6N4O3S2,222.237,221.988,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,152.0
139,1983,151.063,2,2,11,C8H9NO2,151.165,151.063,CC(=O)NC1=CC=C(C=C1)O,49.3
185,1979,169.11,0,3,12,C9H15NO2,169.224,169.11,CC(=O)OC1CN2CCC1CC2,29.5
401,1978,336.205,3,5,24,C18H28N2O4,336.432,336.205,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,87.7
229,1935,198.116,1,2,15,C13H14N2,198.269,198.116,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,38.9
350,1775,252.09,2,2,19,C15H12N2O2,252.273,252.09,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,58.2
655,1593,400.334,2,2,29,C27H44O2,400.647,400.334,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,40.5
338,1546,285.063,3,7,19,C10H12ClN5O3,285.688,285.063,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,119.0
277,1302,230.094,1,3,17,C14H14O3,230.263,230.094,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,46.5
639,1234,484.294,0,7,35,C28H40N2O5,484.637,484.294,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,73.2
990,1210,610.304,3,6,45,C37H42N2O6+2,610.751,610.304,C[NH+]1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,81.8
95,1206,149.12,1,1,11,C10H15N,149.237,149.12,CC(CC1=CC=CC=C1)NC,12.0
161,1080,179.025,3,6,11,C5H9NO4S,179.19,179.025,C(C(C(=O)O)N)SCC(=O)O,126.0
147,942,162.116,0,2,12,C10H14N2,162.236,162.116,CN1CCCC1C2=CN=CC=C2,16.1
209,836,197.069,4,5,14,C9H11NO4,197.19,197.069,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,104.0
241,823,258.111,3,6,16,C8H21NO6P+,258.231,258.111,C[N+](C)(C)CCOP(=O)(O)OCC(CO)O,96.2
119,723,116.011,2,4,8,C4H4O4,116.072,116.011,C(=CC(=O)O)C(=O)O,74.6
605,653,336.063,2,6,25,C19H12O6,336.299,336.063,C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,93.1
205,610,194.043,5,7,13,C6H10O7,194.139,194.043,C1(C(C(OC(C1O)O)C(=O)O)O)O,127.0
383,596,243.086,4,5,17,C9H13N3O5,243.219,243.086,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,129.0
271,587,211.036,4,6,13,C4H10N3O5P,211.114,211.036,CN(CC(=O)O)C(=NP(=O)(O)O)N,136.0
83,564,131.095,2,3,9,C6H13NO2,131.175,131.095,C(CCC(=O)O)CCN,63.3
247,444,239.108,1,2,16,C13H18ClNO,239.743,239.108,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,29.1
133,338,138.032,2,3,10,C7H6O3,138.122,138.032,C1=CC=C(C(=C1)C(=O)O)O,57.5
87,247,117.079,0,2,8,C5H11NO2,117.148,117.079,C[N+](C)(C)CC(=O)[O-],40.1
911,143,473.166,7,9,34,C20H23N7O7,473.446,473.166,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,216.0
